Date,SPY,NSEI,BVSP,IMOEX.ME,IBEX,MXX,XLE,XLF,XLI,XLK,XLV,XLB,XLU,XLRE,XLY,XLP,post_covid
6/21/2017,-0.000247035,-0.002063597,-6.58E-05,-0.003855678,-0.000502579,-0.001012106,-0.016275698,-0.008254155,-0.006751693,0.00555831,0.012616529,-0.010581977,-0.005947719,-0.002162744,0.001559541,-0.002861093,FALSE
6/22/2017,-0.000452895,-0.000373721,0.008358375,0.004979982,-0.002871699,0.000693473,-0.000625171,-0.006235555,-0.002063927,0.000357608,0.010352677,0.001119002,-0.004671735,0.000618148,-0.002340094,-0.006648087,FALSE
6/23/2017,0.001193602,-0.005732892,-0.003023891,0.003975802,-0.007413153,-0.000747941,0.006701375,-0.003760252,0.003682485,0.006235998,-0.001490474,0.003907461,-0.00337704,0.00431853,-0.001228092,0.00036068,FALSE
6/27/2017,-0.007430928,-0.006659213,0.009579585,0.006128559,0.001607296,0.002181272,-0.003734738,0.010410321,-0.007230826,-0.021907722,-0.010116318,-0.003161889,-0.004520678,0.000615328,-0.004366252,-0.004696719,FALSE
6/28/2017,0.008910359,-0.002120799,0.005546003,0.006916133,0.005133339,0.005128054,0.005441935,0.01561908,0.008993918,0.012449273,0.005258342,0.009086601,-0.009674869,0.001229596,0.010046993,0.003614519,FALSE
6/29/2017,-0.008827621,0.001352922,0.003557147,-0.005799053,-0.016163318,-0.002881894,0.002168378,0.006909049,-0.008549584,-0.018093601,-0.009157715,-0.012071684,-0.008038292,-0.010189802,-0.009710344,-0.010701187,FALSE
6/30/2017,0.001862905,0.00176618,0.010564351,-0.000819052,-0.008257223,0.013313268,0.004477131,-0.000810402,0.00825572,-0.000913115,-0.001387183,0.005403817,-0.0015385,-0.000621018,0.005257695,0.00182183,FALSE
7/3/2017,0.001694003,0.009834956,0.00602316,0.012210314,0.015174644,0.005035128,0.019071426,0.014487147,0.006147716,-0.006968817,0.001765084,0.008696351,-0.004629429,0.009273608,-0.001004834,-0.000910341,FALSE
7/5/2017,0.002309454,0.002347695,-0.001993135,0.009827583,-0.007629851,0.003817323,-0.020458566,0.001596639,0.002914053,0.009888534,0.005903357,-0.003321329,-0.004845398,-0.012072558,-0.002459883,-0.000728891,FALSE
7/6/2017,-0.009186617,0.003826632,-0.010889747,0.000957169,-0.002397415,-0.005684758,-0.011168086,-0.007607488,-0.008767905,-0.009152667,-0.012982981,-0.004446149,-0.000388661,-0.018227918,-0.010240436,-0.005667918,FALSE
7/7/2017,0.006464234,-0.000904844,-0.002371948,-0.005600031,-0.000914899,0.000866306,-0.001561154,0.006809868,0.007748896,0.011518445,0.005061964,0.005184989,0.000777078,0.005692551,0.008895822,-0.000550325,FALSE
